"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
8932,621566,"Olson, Matt",8932,100,0.257,0.256,0.289,0.513,0.366,0.36,0.253,468,1823,92.7,16,2237,89.5,89.8,1210,4346,4585,0.29999999999999716,6.46,116,152,130,151,303,329,304,"-99.6","99.6","72.3","7.3",2083,1330,239,108,4,117,506,24.3,230,11,2.27084,0.62453,0.35053,-0.16643,"92.8",177,51.2781954887218,14.135338345864662,9.025444071051368,5.81,-0.83,-0.15,2.41,0.343,188,"1.115584416",0.342,0.491,"-1.115584416",0.004,0.0010000000000000009,0.022,0.006,27.8,"37.6"
8030,518692,"Freeman, Freddie",8030,100,0.314,0.206,0.347,0.52,0.39,0.393,0.306,563,1791,90.3,14.4,2236,89.3,89.52,801,4006,4022,0.20000000000000284,6.38,116,151,129,151,295,323,304,"-138","138","68.4","6.7",2041,1488,344,141,6,72,323,15.8,199,9.8,2.31195,0.58517,0.36245,-0.21216,"91.9",170,44.01881720430107,10.080645161290322,7.349338559529642,5.72,-0.64,-0.1,2.36,0.389,150,"1.71886675",0.384,0.526,"-1.71886675",0.008,0.0050000000000000044,-0.006,-0.003,20,"36.8"
7815,663993,"Lowe, Nathaniel",7925,98.6,0.277,0.16,0.338,0.436,0.349,0.339,0.264,463,1673,89.6,7.7,2260,89.9,89.9,790,3599,4216,0,6.35,116,150,125,151,296,328,305,"-53.8","53.8","71.7","7.2",1900,1255,320,78,6,59,425,22.4,207,10.9,2.19457,0.68023,0.37964,-0.14628,"91.9",163,42.071713147410364,7.410358565737052,4.894736842105263,5.78,-0.72,-0.03,2.47,0.359,93,"0.688330134",0.349,0.417,"-0.688330134",0.013,0.010000000000000009,0.019,0.01,22,"38.5"
7401,502671,"Goldschmidt, Paul",8267,89.5,0.28,0.203,0.338,0.483,0.361,0.357,0.266,442,1581,91.2,13.9,2279,89.2,89.49,886,3309,4092,0.29999999999999716,6.43,108,151,122,147,308,326,298,"-63.4","63.4","71.2","7.7",1778,1165,268,100,1,73,423,23.8,173,9.7,2.30823,0.59645,0.25776,0.08821,"92.7",170,49.6137339055794,11.587982832618025,7.592800899887514,5.74,-0.96,0.15,2.27,0.353,135,"0.856478854",0.342,0.482,"-0.856478854",0.014,0.010999999999999954,0.001,0.004,26.8,"37.9"
7278,572233,"Walker, Christian",7529,96.7,0.251,0.229,0.271,0.48,0.346,0.349,0.252,399,1588,89.6,16.5,2264,89.3,89.48,877,3430,3847,0.20000000000000284,6.42,108,152,122,146,305,328,297,"-40","40","72.7","7.5",1803,1232,219,86,4,90,379,21,166,9.2,2.30554,0.59961,0.3027,0.06352,"92.4",167,43.66883116883117,11.931818181818182,8.153078202995008,5.77,-0.86,0.27,2.26,0.327,147,"0.549216818",0.332,0.467,"-0.549216818",-0.001,-0.0050000000000000044,0.013,-0.003,25.6,"38.0"
7195,624413,"Alonso, Pete",7854,91.6,0.244,0.249,0.256,0.493,0.352,0.354,0.249,398,1630,89.8,16.8,2253,89.5,89.63,803,3228,3967,0.09999999999999432,6.43,107,151,123,146,304,326,296,"-55.4","55.4","73.2","7.2",1854,1231,216,69,2,111,414,22.3,165,8.9,2.28414,0.62134,0.3693,0.09505,"93.0",162,44.02924451665313,12.997562956945572,8.629989212513484,5.75,-0.81,0.1,2.29,0.327,160,"0.769742877",0.333,0.487,"-0.769742877",-0.005,-0.006000000000000005,0.006,-0.002,24.9,"38.0"
6278,664034,"France, Ty",6664,94.2,0.254,0.138,0.289,0.392,0.317,0.325,0.256,389,1532,87.8,11.8,2257,89.3,89.44,722,3294,2984,0.10000000000000853,6.38,108,151,121,147,300,321,288,"-7.5","7.5","69.2","7.5",1712,1236,266,79,0,44,306,17.9,104,6.1,2.24615,0.65422,0.33027,0.09237,"91.4",152,38.26860841423948,6.553398058252427,4.731308411214953,5.78,-0.82,0.19,2.31,0.326,81,"0.119878942",0.329,0.407,"-0.119878942",-0.002,-0.0030000000000000027,-0.015,-0.008,21.9,"39.1"
5897,665489,"Guerrero Jr., Vladimir",7639,77.2,0.292,0.201,0.312,0.493,0.367,0.38,0.3,417,1426,93.2,7,2265,89.5,89.64,680,2918,2978,0.09999999999999432,6.42,108,152,123,147,305,329,295,"-59.6","59.6","74.4","7.7",1586,1191,264,86,1,66,244,15.4,137,8.6,2.26162,0.63069,0.34898,0.09774,"93.9",149,52.39294710327456,12.594458438287154,9.457755359394703,5.78,-1.06,0.21,2.27,0.358,150,"1.010072918",0.367,0.509,"-1.010072918",-0.008,-0.009000000000000008,-0.016,-0.013,23.3,"38.5"
5864,467793,"Santana, Carlos",6952,84.3,0.239,0.178,0.254,0.417,0.326,0.329,0.249,304,1273,89.4,14.1,2211,88.8,89.07,579,2596,3267,0.29999999999999716,6.44,114,150,125,150,299,323,297,"-19.4","19.4","70.3","7.5",1452,1043,184,66,1,53,237,16.3,165,11.4,2.34409,0.58778,0.3925,-0.39155,"92.0",148,39.98082454458293,7.28667305848514,5.234159779614325,5.73,-0.94,-0.07,2.29,0.328,76,"0.331207367",0.337,0.408,"-0.331207367",-0.01,-0.009000000000000008,0.009,-0.003,22.3,"37.8"
5847,679529,"Torkelson, Spencer",6016,97.2,0.22,0.169,0.269,0.389,0.302,0.32,0.233,281,1276,90.8,17.4,2272,88.7,88.91,685,2692,3155,0.20000000000000284,6.4,108,152,121,147,301,327,293,"24.5","-24.5","72.0","7.5",1431,916,162,69,3,47,367,25.6,132,9.2,2.33059,0.60729,0.2689,0.01093,"92.4",159,45.30567685589519,10.58951965065502,6.778476589797345,5.75,-0.9,0.23,2.3,0.299,97,"-0.419719514",0.312,0.419,"0.419719514",-0.013,-0.013000000000000012,-0.03,-0.018,25.4,"39.7"
