"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"FC","2024-09-29","86.3","-1.04","5.62","Walker, Christian",572233,663362,"field_out","hit_into_play",,,,,4,"Christian Walker flies out to shortstop Nick Ahmed.","R","R","R","AZ","SD","X",6,"fly_ball",1,1,2024,"0.2","0.62","-0.39","2.78",,,677950,1,8,"Bot",115.49,126.04,,,,,1.138102766869788,-125.75015821258522,-1.8516974109768243,1.9524125910155619,23.391457423012877,-25.431492504412063,"3.41","1.53",188,"70",53,"87.1",2131,"6.5",747147,553869,456781,630105,642180,605113,444482,701538,663604,"53.97",0.091,0.088,"0",1,0,0,3,68,3,"Cutter",9,2,9,2,2,9,9,2,"Standard","Standard",194,"0","-0.288","76.4","7.4",0.11,"0.288","88.0",7,7,"0.999","0.999",27,33,28,33,3,4,39,1,,,"2.41","-0.2","-0.2","29.9"
"KN","2024-09-29","72.1","-0.81","5.38","Walker, Christian",572233,663362,,"blocked_ball",,,,,14,"Christian Walker flies out to shortstop Nick Ahmed.","R","R","R","AZ","SD","B",,,0,1,2024,"0.19","-0.15","1.47","0.58",,,677950,1,8,"Bot",,,,,,,4.216286067414011,-104.8002247115537,-1.6893392669567946,0.5407516868241192,20.870965645361686,-33.16784632512976,"3.27","1.38",,,,"71.7",318,"6.4",747147,553869,456781,630105,642180,605113,444482,701538,663604,"54.06",,,,,,,,68,2,"Knuckleball",9,2,9,2,2,9,9,2,"Standard","Standard",35,"0","0.035",,,,"-0.035",,7,7,"0.999","0.999",27,33,28,33,3,4,39,1,,,"4.61","-0.19","-0.19","30.6"
"ST","2024-09-29","80.1","-1.13","5.41","Walker, Christian",572233,663362,,"called_strike",,,,,9,"Christian Walker flies out to shortstop Nick Ahmed.","R","R","R","AZ","SD","S",,,0,0,2024,"1.12","0.1","0.79","2.08",,,677950,1,8,"Bot",,,,,,,2.125672739127565,-116.64274036808342,-0.7906470401225983,9.690372152308264,24.219619844297274,-31.330999708512955,"3.4","1.48",,,,"80.1",2247,"6.5",747147,553869,456781,630105,642180,605113,444482,701538,663604,"54.04",,,,,,,,68,1,"Sweeper",9,2,9,2,2,9,9,2,"Strategic","Standard",88,"0","-0.047",,,,"0.047",,7,7,"0.999","0.999",27,33,28,33,3,4,39,1,,,"3.48","-1.12","-1.12","27.4"
"CH","2024-09-29","83.3","1.16","5.81","Walker, Christian",572233,527048,"double","hit_into_play",,,,,8,"Christian Walker doubles (26) on a line drive to left fielder David Peralta.","R","R","L","AZ","SD","X",7,"line_drive",0,0,2024,"1.1","1.08","-0.15","2.08",,,,1,4,"Bot",37.26,94.92,,,,,-5.128940335762691,-121.25029994471421,-4.240807170251887,11.82926299159493,23.085872559446365,-20.84532175938947,"3.41","1.53",225,"110",11,"82.9",1691,"6",747147,553869,650333,630105,642180,605113,444482,701538,663604,"54.53",0.9,0.929,"1.25",1,1,1,5,28,1,"Changeup",0,1,0,1,1,0,0,1,"Standard","Standard",131,"0.056","0.415","77.2","7.9",1.25,"-0.415","110.0",-1,-1,"0.391","0.391",33,33,33,33,2,1,8,1,,,"2.19","1.1","-1.1","46.2"
"KN","2024-09-29","79.7","-0.77","5.64","Walker, Christian",572233,663362,"hit_by_pitch","hit_by_pitch",,,,,11,"Christian Walker hit by pitch.","R","R","R","AZ","SD","B",,,0,2,2024,"0.24","0.58","-1.61","3.44",666971,,,2,6,"Bot",,,,,,,-2.2965315013585292,-115.96932188037569,0.9237366205739382,2.6361007530968754,25.113108074370214,-27.424625955591846,"3.41","1.53",,,,"79.3",142,"6.4",747147,553869,456781,630105,642180,605113,444482,701538,663604,"54.13",,0.720192,"0.7",1,0,0,,53,4,"Knuckleball",8,2,8,2,2,8,8,2,"Standard","Standard",342,"0","0.288",,,,"-0.288",,6,6,"0.988","0.988",27,33,28,33,2,3,39,1,,,"3.05","-0.24","-0.24","35.8"
"FF","2024-09-29","91.7","-0.98","5.37","Walker, Christian",572233,663362,,"foul",,,,,12,"Christian Walker hit by pitch.","R","R","R","AZ","SD","S",,,0,2,2024,"-0.72","1.09","1.22","3.06",666971,,,2,6,"Bot",,,,,,,7.127712079771778,-133.38472327982763,-2.323290655448322,-10.118871306929874,29.405496713441725,-18.916078264134864,"3.41","1.53",144,"77.8",12,"92",2066,"6.5",747147,553869,456781,630105,642180,605113,444482,701538,663604,"53.97",,,,,,,,53,3,"4-Seam Fastball",8,2,8,2,2,8,8,2,"Standard","Standard",227,"0","0","71.1","7.1",,"0","88.0",6,6,"0.988","0.988",27,33,28,33,2,3,39,1,,,"1.63","0.72","0.72","23.9"
"KN","2024-09-29","78.4","-0.78","5.54","Walker, Christian",572233,663362,,"swinging_strike",,,,,13,"Christian Walker hit by pitch.","R","R","R","AZ","SD","S",,,0,1,2024,"-1","-0.98","-0.86","1.78",666971,,,2,6,"Bot",,,,,,,1.6737732716645723,-114.02234374739244,0.7111704503206249,-8.93118708710109,25.899986674687923,-41.03543253086901,"3.41","1.53",,,,"77.7",278,"6.3",747147,553869,456781,630105,642180,605113,444482,701538,663604,"54.16",,,,,,,,53,2,"Knuckleball",8,2,8,2,2,8,8,2,"Standard","Standard",2,"0","-0.07","76.9","7.7",,"0.07",,6,6,"0.988","0.988",27,33,28,33,2,3,39,1,,,"4.77","1","1","32.6"
"ST","2024-09-29","82.7","-1.14","5.43","Walker, Christian",572233,663362,,"foul",,,,,2,"Christian Walker hit by pitch.","R","R","R","AZ","SD","S",,,0,0,2024,"0.66","0.45","0.18","3.13",666971,,,2,6,"Bot",,,,,,,1.7219736255552915,-120.56202059330887,0.26753941097262623,6.231040774297942,20.193214902538788,-27.924953333530702,"3.41","1.53",225,"69.3",47,"83.8",2215,"6.6",747147,553869,456781,630105,642180,605113,444482,701538,663604,"53.88",,,,,,,,53,1,"Sweeper",8,2,8,2,2,8,8,2,"Standard","Standard",92,"0","-0.047","71.8","7.1",,"0.047","88.0",6,6,"0.988","0.988",27,33,28,33,2,3,39,1,,,"2.83","-0.66","-0.66","28.8"
"CU","2024-09-29","78.4","1.09","5.7","Walker, Christian",572233,527048,"grounded_into_double_play","hit_into_play",,,,,14,"Christian Walker grounds into a double play, third baseman Tyler Wade to second baseman Jake Cronenworth to first baseman Luis Arraez.   Lourdes Gurriel Jr.  out at 2nd.    Christian Walker out at 1st.","R","R","L","AZ","SD","X",5,"ground_ball",0,2,2024,"-0.18","-0.63","0.28","1.39",,606466,666971,1,1,"Bot",98.51,166.8,,,,,-1.4020729254738513,-114.31428698339924,-1.3966515382608655,-1.369618153866188,19.17865798248003,-37.66426464044628,"3.41","1.53",35,"82.4",0,"78.3",2509,"5.9",747147,553869,650333,630105,642180,605113,444482,701538,663604,"54.56",0.197,0.181,"0",1,0,0,2,7,3,"Curveball",0,0,0,0,0,0,0,0,"Standard","Standard",313,"-0.085","-0.427","63.2","8.1",0.209,"0.427","88.0",0,0,"0.585","0.585",33,33,33,33,1,0,8,1,,,"4.29","-0.18","0.18","47.9"
"FF","2024-09-29","90.8","0.8","5.76","Walker, Christian",572233,527048,,"swinging_strike",,,,,11,"Christian Walker grounds into a double play, third baseman Tyler Wade to second baseman Jake Cronenworth to first baseman Luis Arraez.   Lourdes Gurriel Jr.  out at 2nd.    Christian Walker out at 1st.","R","R","L","AZ","SD","S",,,0,1,2024,"0.79","1.39","-0.17","3.61",,606466,666971,1,1,"Bot",,,,,,,-4.083681091444318,-132.29826216946995,-2.4556604675813594,10.093877040376272,27.622848053042304,-15.50089444561269,"3.41","1.53",,,,"90.6",2235,"6",747147,553869,650333,630105,642180,605113,444482,701538,663604,"54.46",,,,,,,,7,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",142,"0","-0.093","36.6","5.2",,"0.093",,0,0,"0.585","0.585",33,33,33,33,1,0,8,1,,,"1.36","0.79","-0.79","49.3"
