"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle"
"FF","2024-09-30","96.2","-2.41","5.53","Alonso, Pete",624413,680885,"field_out","hit_into_play",,,,,4,"Pete Alonso lines out sharply to center fielder Michael Harris II.","R","R","R","ATL","NYM","X",8,"line_drive",0,0,2024,"-0.57","1.12","-0.57","2.55",,,,1,7,"Top",102.36,48.62,,,,,6.240494032222472,-140.00773841802356,-4.945028253551201,-8.862552657801816,29.92492985964667,-16.450259287378096,"3.47","1.64",376,"101.1",23,"97.5",2159,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,642201,"53.62",0.566,0.841,"0",1,0,0,6,51,1,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Strategic","Standard",223,"0.014","-0.162","74.7","6.6",1.431,"0.162","101.1",3,-3,"0.924","0.076",24,29,24,30,3,2,6,1,,0,"1.33","0.57","0.57","30.9"
"SL","2024-09-30","88.8","-2.31","5.42","Alonso, Pete",624413,680885,"single","hit_into_play",,,,,6,"Pete Alonso singles on a ground ball to left fielder Ramón Laureano.","R","R","R","ATL","NYM","X",7,"ground_ball",3,2,2024,"0.2","-0.05","0.45","2.48",,,,0,5,"Top",65.51,112.43,,,,,6.434276778097691,-129.37674489196783,-1.1351360641408659,1.119813400910068,23.663354000295648,-32.7582969248154,"3.47","1.64",80,"109.8",4,"90.5",2495,"7",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.51",0.68,0.652,"0.9",1,1,0,4,33,6,"Slider",2,0,0,2,0,2,0,2,"Standard","Standard",71,"-0.049","0.331","73.9","7.9",0.784,"-0.331","109.8",2,-2,"0.761","0.239",24,29,24,30,2,1,6,1,,0,"2.91","-0.2","-0.2","33.8"
"FC","2024-09-30","94.5","-2.29","5.57","Alonso, Pete",624413,680885,,"ball",,,,,11,"Pete Alonso singles on a ground ball to left fielder Ramón Laureano.","R","R","R","ATL","NYM","B",,,2,2,2024,"0.05","0.75","-0.54","3.97",,,,0,5,"Top",,,,,,,4.476940331839814,-137.72109648923796,-0.2229157248657937,-0.21284350485299003,26.796328684957114,-22.739939230128563,"3.42","1.64",,,,"95.7",2269,"6.6",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.87",,,,,,,,33,5,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",194,"0","0.096",,,,"-0.096",,2,-2,"0.761","0.239",24,29,24,30,2,1,6,1,,0,"1.77","-0.05","-0.05","30.5"
"FF","2024-09-30","96.6","-2.29","5.59","Alonso, Pete",624413,680885,,"swinging_strike",,,,,5,"Pete Alonso singles on a ground ball to left fielder Ramón Laureano.","R","R","R","ATL","NYM","S",,,2,1,2024,"-0.14","1.01","0.04","2.64",,,,0,5,"Top",,,,,,,6.612400572447371,-140.60012428414967,-4.697753093293147,-3.145220389093934,27.218003501751443,-17.889834026280244,"3.47","1.64",,,,"98.2",2257,"6.8",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.67",,,,,,,,33,4,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",215,"0","-0.062","75.1","6.1",,"0.062",,2,-2,"0.761","0.239",24,29,24,30,2,1,6,1,,0,"1.4","0.14","0.14","32.4"
"FF","2024-09-30","97","-2.26","5.58","Alonso, Pete",624413,680885,,"called_strike",,,,,3,"Pete Alonso singles on a ground ball to left fielder Ramón Laureano.","R","R","R","ATL","NYM","S",,,2,0,2024,"-0.63","0.93","0.81","2.94",,,,0,5,"Top",,,,,,,9.811338647035763,-141.11222621041958,-3.766903230218967,-10.432581630790098,26.84826381277172,-18.953536699519535,"3.38","1.64",,,,"99",2255,"7",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.47",,,,,,,,33,3,"4-Seam Fastball",2,0,0,2,0,2,0,2,"Standard","Standard",218,"0","-0.058",,,,"0.058",,2,-2,"0.761","0.239",24,29,24,30,2,1,6,1,,0,"1.46","0.63","0.63","33.2"
"SL","2024-09-30","85.2","-2.45","6","Alonso, Pete",624413,656550,"single","hit_into_play",,,,,9,"Pete Alonso singles on a line drive to right fielder Jorge Soler.","R","R","R","ATL","NYM","X",9,"line_drive",0,0,2024,"0.24","0.03","0.49","2.15",,,,0,5,"Top",171.81,114.84,,,,,6.409946428042022,-124.07840321092851,-2.8526876686084632,1.2820030154123174,23.14432197356364,-31.490494829677022,"3.46","1.63",193,"74",22,"85.1",2700,"6",747064,669221,621566,645277,570482,606115,657656,671739,624585,"54.49",0.977,0.897,"0.9",1,1,0,4,31,1,"Slider",1,0,0,1,0,1,0,1,"Standard","Standard",32,"-0.052","0.403","78.9","8.2",1.05,"-0.403","88.0",1,-1,"0.644","0.356",28,29,28,30,2,1,1,0,,1,"3.08","-0.24","-0.24","37.5"
"FC","2024-09-30","92.9","-2.39","5.57","Alonso, Pete",624413,680885,,"ball",,,,,12,"Pete Alonso singles on a ground ball to left fielder Ramón Laureano.","R","R","R","ATL","NYM","B",,,1,0,2024,"0.29","0.52","0.97","2.73",,,,0,5,"Top",,,,,,,8.023811283235517,-135.1739590250335,-2.7231114757025643,2.136427015499363,25.347196202974345,-25.331561860649337,"3.47","1.64",,,,"94.2",2351,"6.7",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.76",,,,,,,,33,2,"Cutter",2,0,0,2,0,2,0,2,"Standard","Standard",188,"0","0.062",,,,"-0.062",,2,-2,"0.761","0.239",24,29,24,30,2,1,6,1,,0,"2.09","-0.29","-0.29","32.4"
"CU","2024-09-30","82.3","-2.38","5.3","Alonso, Pete",624413,680885,,"ball",,,,,14,"Pete Alonso singles on a ground ball to left fielder Ramón Laureano.","R","R","R","ATL","NYM","B",,,0,0,2024,"0.48","-0.87","0.76","0.43",,,,0,5,"Top",,,,,,,6.298358353677313,-119.84817370514634,-2.911710605034755,3.493224976214986,21.429555948918324,-40.23147316190404,"3.24","1.5",,,,"83.8",2357,"7",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.45",,,,,,,,33,1,"Curveball",2,0,0,2,0,2,0,2,"Standard","Standard",44,"0","0.034",,,,"-0.034",,2,-2,"0.761","0.239",24,29,24,30,2,1,6,1,,0,"4.2","-0.48","-0.48","32.9"
"SL","2024-09-30","88.3","-2.37","5.55","Alonso, Pete",624413,680885,"field_out","hit_into_play",,,,,8,"Pete Alonso grounds out, third baseman Gio Urshela to first baseman Matt Olson.","R","R","R","ATL","NYM","X",5,"ground_ball",1,0,2024,"0.34","-0.04","-0.01","1.96",,,,1,2,"Top",89.15,163.34,,,,,5.099206809919392,-128.72493658406015,-2.719715630111791,2.9139078193805306,22.26992371683068,-32.29216900681398,"3.47","1.64",12,"104.9",-10,"90",2445,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.62",0.326,0.266,"0",1,0,0,2,9,2,"Slider",0,0,0,0,0,0,0,0,"Standard","Standard",71,"0.017","-0.186","75.8","7.7",0.355,"0.186","104.9",0,0,"0.523","0.477",24,29,24,30,1,0,6,1,,0,"2.91","-0.34","-0.34","34.2"
"FF","2024-09-30","95.9","-2.37","5.49","Alonso, Pete",624413,680885,,"ball",,,,,13,"Pete Alonso grounds out, third baseman Gio Urshela to first baseman Matt Olson.","R","R","R","ATL","NYM","B",,,0,0,2024,"-0.95","0.78","-1.62","1.32",,,,1,2,"Top",,,,,,,4.193779040510928,-139.56420308879822,-7.341300025693221,-13.37264090764905,26.86011518984981,-20.664584488239296,"3.51","1.64",,,,"97.6",1994,"6.9",747139,518595,621566,645277,570482,606115,657656,671739,624585,"53.58",,,,,,,,9,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",222,"0","0.025",,,,"-0.025",,0,0,"0.523","0.477",24,29,24,30,1,0,6,1,,0,"1.67","0.95","0.95","32.8"
